,dateTime,sleepStage,sleepStageNum
830,2023-04-21 04:06:20,wake,0
831,2023-04-21 04:06:30,wake,0
832,2023-04-21 04:06:40,wake,0
833,2023-04-21 04:06:50,wake,0
834,2023-04-21 04:07:00,wake,0
835,2023-04-21 04:07:10,wake,0
836,2023-04-21 04:07:20,wake,0
837,2023-04-21 04:07:30,wake,0
838,2023-04-21 04:07:40,wake,0
839,2023-04-21 04:07:50,wake,0
840,2023-04-21 04:08:00,wake,0
841,2023-04-21 04:08:10,wake,0
842,2023-04-21 04:08:20,wake,0
843,2023-04-21 04:08:30,wake,0
844,2023-04-21 04:08:40,wake,0
845,2023-04-21 04:08:50,wake,0
846,2023-04-21 04:09:00,wake,0
847,2023-04-21 04:09:10,wake,0
848,2023-04-21 04:09:20,wake,0
849,2023-04-21 04:09:30,wake,0
850,2023-04-21 04:09:40,wake,0
851,2023-04-21 04:09:50,wake,0
852,2023-04-21 04:10:00,light,2
853,2023-04-21 04:10:10,light,2
854,2023-04-21 04:10:20,light,2
855,2023-04-21 04:10:30,light,2
856,2023-04-21 04:10:40,light,2
857,2023-04-21 04:10:50,light,2
858,2023-04-21 04:11:00,light,2
859,2023-04-21 04:11:10,light,2
860,2023-04-21 04:11:20,light,2
861,2023-04-21 04:11:30,light,2
862,2023-04-21 04:11:40,light,2
863,2023-04-21 04:11:50,light,2
864,2023-04-21 04:12:00,light,2
865,2023-04-21 04:12:10,light,2
866,2023-04-21 04:12:20,light,2
867,2023-04-21 04:12:30,light,2
868,2023-04-21 04:12:40,light,2
869,2023-04-21 04:12:50,light,2
870,2023-04-21 04:13:00,light,2
871,2023-04-21 04:13:10,light,2
872,2023-04-21 04:13:20,light,2
873,2023-04-21 04:13:30,light,2
874,2023-04-21 04:13:40,light,2
875,2023-04-21 04:13:50,light,2
876,2023-04-21 04:14:00,light,2
877,2023-04-21 04:14:10,light,2
878,2023-04-21 04:14:20,light,2
879,2023-04-21 04:14:30,light,2
880,2023-04-21 04:14:40,light,2
881,2023-04-21 04:14:50,light,2
882,2023-04-21 04:15:00,light,2
883,2023-04-21 04:15:10,light,2
884,2023-04-21 04:15:20,light,2
885,2023-04-21 04:15:30,light,2
886,2023-04-21 04:15:40,light,2
887,2023-04-21 04:15:50,light,2
888,2023-04-21 04:16:00,light,2
889,2023-04-21 04:16:10,light,2
890,2023-04-21 04:16:20,light,2
891,2023-04-21 04:16:30,light,2
892,2023-04-21 04:16:40,light,2
893,2023-04-21 04:16:50,light,2
894,2023-04-21 04:17:00,light,2
895,2023-04-21 04:17:10,light,2
896,2023-04-21 04:17:20,light,2
897,2023-04-21 04:17:30,light,2
898,2023-04-21 04:17:40,light,2
899,2023-04-21 04:17:50,light,2
900,2023-04-21 04:18:00,light,2
901,2023-04-21 04:18:10,light,2
902,2023-04-21 04:18:20,light,2
903,2023-04-21 04:18:30,light,2
904,2023-04-21 04:18:40,light,2
905,2023-04-21 04:18:50,light,2
906,2023-04-21 04:19:00,light,2
907,2023-04-21 04:19:10,light,2
908,2023-04-21 04:19:20,light,2
909,2023-04-21 04:19:30,light,2
910,2023-04-21 04:19:40,light,2
911,2023-04-21 04:19:50,light,2
912,2023-04-21 04:20:00,light,2
913,2023-04-21 04:20:10,light,2
914,2023-04-21 04:20:20,light,2
915,2023-04-21 04:20:30,light,2
916,2023-04-21 04:20:40,light,2
917,2023-04-21 04:20:50,light,2
918,2023-04-21 04:21:00,light,2
919,2023-04-21 04:21:10,light,2
920,2023-04-21 04:21:20,light,2
921,2023-04-21 04:21:30,light,2
922,2023-04-21 04:21:40,light,2
923,2023-04-21 04:21:50,light,2
924,2023-04-21 04:22:00,light,2
925,2023-04-21 04:22:10,light,2
926,2023-04-21 04:22:20,light,2
927,2023-04-21 04:22:30,light,2
928,2023-04-21 04:22:40,light,2
929,2023-04-21 04:22:50,light,2
930,2023-04-21 04:23:00,light,2
931,2023-04-21 04:23:10,light,2
932,2023-04-21 04:23:20,light,2
933,2023-04-21 04:23:30,light,2
934,2023-04-21 04:23:40,light,2
935,2023-04-21 04:23:50,light,2
936,2023-04-21 04:24:00,light,2
937,2023-04-21 04:24:10,light,2
938,2023-04-21 04:24:20,light,2
939,2023-04-21 04:24:30,light,2
940,2023-04-21 04:24:40,light,2
941,2023-04-21 04:24:50,light,2
942,2023-04-21 04:25:00,light,2
943,2023-04-21 04:25:10,light,2
944,2023-04-21 04:25:20,light,2
945,2023-04-21 04:25:30,light,2
946,2023-04-21 04:25:40,light,2
947,2023-04-21 04:25:50,light,2
948,2023-04-21 04:26:00,light,2
949,2023-04-21 04:26:10,light,2
950,2023-04-21 04:26:20,light,2
951,2023-04-21 04:26:30,light,2
952,2023-04-21 04:26:40,light,2
953,2023-04-21 04:26:50,light,2
954,2023-04-21 04:27:00,light,2
955,2023-04-21 04:27:10,light,2
956,2023-04-21 04:27:20,light,2
957,2023-04-21 04:27:30,light,2
958,2023-04-21 04:27:40,light,2
959,2023-04-21 04:27:50,light,2
960,2023-04-21 04:28:00,light,2
961,2023-04-21 04:28:10,light,2
962,2023-04-21 04:28:20,light,2
963,2023-04-21 04:28:30,light,2
964,2023-04-21 04:28:40,light,2
965,2023-04-21 04:28:50,light,2
966,2023-04-21 04:29:00,light,2
967,2023-04-21 04:29:10,light,2
968,2023-04-21 04:29:20,light,2
969,2023-04-21 04:29:30,light,2
970,2023-04-21 04:29:40,light,2
971,2023-04-21 04:29:50,light,2
972,2023-04-21 04:30:00,wake,0
973,2023-04-21 04:30:10,wake,0
974,2023-04-21 04:30:20,wake,0
975,2023-04-21 04:30:30,wake,0
976,2023-04-21 04:30:40,wake,0
977,2023-04-21 04:30:50,wake,0
978,2023-04-21 04:31:00,wake,0
979,2023-04-21 04:31:10,wake,0
980,2023-04-21 04:31:20,wake,0
981,2023-04-21 04:31:30,wake,0
982,2023-04-21 04:31:40,wake,0
983,2023-04-21 04:31:50,wake,0
984,2023-04-21 04:32:00,wake,0
985,2023-04-21 04:32:10,wake,0
986,2023-04-21 04:32:20,wake,0
987,2023-04-21 04:32:30,wake,0
988,2023-04-21 04:32:40,wake,0
989,2023-04-21 04:32:50,wake,0
990,2023-04-21 04:33:00,wake,0
991,2023-04-21 04:33:10,wake,0
992,2023-04-21 04:33:20,wake,0
993,2023-04-21 04:33:30,light,2
994,2023-04-21 04:33:40,light,2
995,2023-04-21 04:33:50,light,2
996,2023-04-21 04:34:00,light,2
997,2023-04-21 04:34:10,light,2
998,2023-04-21 04:34:20,light,2
999,2023-04-21 04:34:30,light,2
1000,2023-04-21 04:34:40,light,2
1001,2023-04-21 04:34:50,light,2
1002,2023-04-21 04:35:00,light,2
1003,2023-04-21 04:35:10,light,2
1004,2023-04-21 04:35:20,light,2
1005,2023-04-21 04:35:30,light,2
1006,2023-04-21 04:35:40,light,2
1007,2023-04-21 04:35:50,light,2
1008,2023-04-21 04:36:00,light,2
1009,2023-04-21 04:36:10,light,2
1010,2023-04-21 04:36:20,light,2
1011,2023-04-21 04:36:30,light,2
1012,2023-04-21 04:36:40,light,2
1013,2023-04-21 04:36:50,light,2
1014,2023-04-21 04:37:00,light,2
1015,2023-04-21 04:37:10,light,2
1016,2023-04-21 04:37:20,light,2
1017,2023-04-21 04:37:30,light,2
1018,2023-04-21 04:37:40,light,2
1019,2023-04-21 04:37:50,light,2
1020,2023-04-21 04:38:00,light,2
1021,2023-04-21 04:38:10,light,2
1022,2023-04-21 04:38:20,light,2
1023,2023-04-21 04:38:30,light,2
1024,2023-04-21 04:38:40,light,2
1025,2023-04-21 04:38:50,light,2
1026,2023-04-21 04:39:00,light,2
1027,2023-04-21 04:39:10,light,2
